id,name,type,park,location,surface_material,grandstand,inactive,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
623316374,Leister Street Park Basketball Court 1,Basketball (Full),Leister Street Park,,Asphalt,0,f,Spring Hill-City View,1,24,42003262000,1,24,1,1-24,40.46207504,-79.99578401
2103158245,Leolyn Park Basketball Court 1,Basketball (Full),Leolyn Park,,Asphalt,0,f,Carrick,4,29,42003290200,3,29,3,4-12,40.39926888,-79.98576343
2057715253,Leslie Park Basketball Court 1,Basketball (Full),Leslie Park,,Asphalt,0,f,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.47286781,-79.95777967
492618246,Lewis Park Basketball Court 1,Basketball (Full),Lewis Park,,Asphalt,0,f,Hazelwood,5,15,42003562900,3,15,4,2-13,40.4130285,-79.9450134
51486336,Lewis Park Basketball Court 2,Basketball (Full),Lewis Park,,Asphalt,0,f,Hazelwood,5,15,42003562900,3,15,4,2-13,40.41309377,-79.94478983
1542934063,Lewis Park Dek Hockey Court 1,Hockey,Lewis Park,,Asphalt,0,f,Hazelwood,5,15,42003562900,3,15,4,2-13,40.41276323,-79.94493744
1089773132,Lookout Street Park Basketball Court 1,Basketball (Half),Lookout Street Park,,Asphalt,0,f,Troy Hill,1,24,42003240600,1,24,1,1-2,40.46940438,-79.97689628
585621285,MaGee Park Basketball Court 1,Basketball (Full),Magee Park,,Asphalt,0,f,Greenfield,5,15,42003151700,3,15,4,2-15,40.4247693,-79.93748236
851192887,MaGee Park Basketball Court 2,Basketball (Full),Magee Park,,Asphalt,0,f,Greenfield,5,15,42003151700,3,15,4,2-15,40.42481298,-79.93731554
100461463,Manchester Park Tennis Court 1,Tennis,Manchester Park,,Asphalt,0,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45879482,-80.02544998
744871657,Manchester Park Tennis Court 2,Tennis,Manchester Park,,Asphalt,0,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45873308,-80.02524646
2103437874,Manchester School Park Basketball Court 1,Basketball (Full),Manchester School Park,,Asphalt,0,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45682807,-80.02578815
390545588,Manchester School Park Basketball Court 2,Basketball (Full),Manchester School Park,,Asphalt,0,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45640012,-80.02563643
1391623389,Marmaduke Park Dek Hockey Court,Dek Hockey,Marmaduke Park,,Composite,1,f,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.4844943,-80.04304637
1601687125,Marshall-California Park Basketball Court 1,Basketball (Full),Marshall-California Park,,Asphalt,0,f,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,40.46250427,-80.03066847
1380850294,McBride Park Dek Hockey Court,Dek Hockey,McBride Park,,,0,f,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.3698823,-79.90738427
490061372,McBride Park Basketball Court 2,Basketball (Full),McBride Park,,Asphalt,0,f,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.36987644,-79.90727934
1060181153,McBride Park Basketball Court,Basketball (Full),McBride Park,,Concrete,0,f,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.36982847,-79.90775191
1265117301,McBride Park Tennis Court,Tennis,McBride Park,,Asphalt,0,f,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.36983792,-79.90797826
1797969925,McGonigle Park Basketball Court 1,Basketball (Half),McGonigle Park,,Asphalt,0,f,Sheraden,2,20,42003562500,5,20,6,1-16,40.45978587,-80.06527956
99590297,McGonigle Park Basketball Court 2,Basketball (Full),McGonigle Park,,Asphalt,0,f,Sheraden,2,20,42003562500,5,20,6,1-16,40.45963516,-80.0654184
363349951,McKinley Park Basketball Court 1,Basketball (Full),McKinley Park,,Asphalt,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-16,40.41395536,-80.00352136
1064561630,McKinley Park Basketball Court 2,Basketball (Full),McKinley Park,,Asphalt,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41312606,-79.99781731
349033077,McKinley Park Basketball Court 3,Basketball (Full),McKinley Park,,Asphalt,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.4132748,-79.99771865
233388008,McKinley Park Sports Court 1,General Sports,McKinley Park,,,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41229165,-80.00234071
558090102,McKinley Park Tennis Court 1,Tennis,McKinley Park,,Asphalt,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41232879,-80.00177176
1662033780,McKinley Park Tennis Court 2,Tennis,McKinley Park,,Asphalt,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.4123205,-80.0015541
1130918360,McKinley Park Tennis Court 3,Tennis,McKinley Park,,Astroturf,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41227527,-80.00119135
2088741845,McKinley Park Tennis Court 4,Tennis,McKinley Park,,Astroturf,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41224807,-80.0009836
7241493,McKnight Park Basketball Court 2,Basketball (Full),McKnight Park,,Asphalt,0,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45210525,-80.02222245
1143156742,McKnight Park Sports Court 1,General Sports,McKnight Park,,Asphalt,0,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45227547,-80.0222771
1955580732,Mellon Park Basketball Court 1,Basketball (Full),Mellon Park,,Asphalt,2,f,Shadyside,8,7,42003070800,2,7,4,3-13,40.45389621,-79.91637511
1889167375,Mellon Park Basketball Court 2,Basketball (Full),Mellon Park,,Asphalt,0,f,Shadyside,8,7,42003070800,2,7,4,2-17,40.45373084,-79.91633742
924885598,Moore Park Basketball Court 1,Basketball (Full),Moore Park,,Asphalt,0,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40504914,-80.01467333
534984037,Moore Park Basketball Court 2,Basketball (Half),Moore Park,,Asphalt,0,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40508907,-80.01445839
2145144790,Moore Park Tennis Court 1,Tennis,Moore Park,,Asphalt,0,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40569463,-80.01452512
1158213799,Moore Park Tennis Court 2,Tennis,Moore Park,,Asphalt,0,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40567252,-80.01431804
734208596,Moore Park Tennis Court 3,Tennis,Moore Park,,Asphalt,0,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40565305,-80.01414021
1112957336,Mutual Park Basketball Court 1,Basketball (Half),Mutual Park,,Asphalt,0,f,Sheraden,2,20,42003202200,5,20,6,1-16,40.45203492,-80.06411815
779686783,Niagara Park Basketball Court 1,Basketball (Half),Niagara Park,,Asphalt,0,f,South Oakland,3,4,42003040900,3,4,4,2-10,40.43463232,-79.96029574
449080163,Oakwood Park Basketball Court 1,Basketball (Full),Oakwood Park,,Asphalt,0,f,Oakwood,2,28,42003562800,5,28,6,1-19,40.42644066,-80.06730568
1324077535,Oakwood Park Tennis Court 1,Tennis,Oakwood Park,,Asphalt,0,f,Oakwood,2,28,42003562800,5,28,6,1-19,40.42637191,-80.06644901
1476656963,Oakwood Park Tennis Court 2,Tennis,Oakwood Park,,Asphalt,0,f,Oakwood,2,28,42003562800,5,28,6,1-19,40.42630315,-80.06629297
1669056568,Ormsby Park Basketball Court 1,Basketball (Full),Ormsby Park,,Asphalt,0,f,South Side Flats,3,16,42003160900,3,16,3,4-24,40.42948394,-79.97385132
514089843,Ormsby Park Hockey Court 1,Hockey,Ormsby Park,,Asphalt,0,f,South Side Flats,3,16,42003160900,3,16,3,4-24,40.42955015,-79.97412789
1890275410,Osceola Park Hockey Court 1,Street Hockey,Osceola Park,,Asphalt,0,f,Bloomfield,7,8,42003080400,2,8,5,3-1,40.45662705,-79.94255435
1537400389,Paul J Sciullo Dek Hockey 1,Dek Hockey,Paul J. Sciullo II Memorial Park,Paul J Sciullo Dek Hockey 1,,0,f,Bloomfield,7,8,42003080200,2,8,5,3-6,40.46254418,-79.9535151
1361121746,Paul Sciulli Memorial Park Bocce Court 1,Bocce,Paul J. Sciullo II Memorial Park,,Limestone,0,f,Bloomfield,7,8,42003080200,2,8,5,3-1,40.46246554,-79.95303476
516809311,Paul Sciulli Memorial Park Bocce Court 2,Bocce,Paul J. Sciullo II Memorial Park,,Limestone,0,f,Bloomfield,7,8,42003080200,2,8,5,3-1,40.46241226,-79.95307559
736783277,Paul Sciullo Basketball Court 1,Basketball (Full),Paul J. Sciullo II Memorial Park,,Asphalt,0,f,Bloomfield,7,8,42003080200,2,8,5,3-1,40.46220455,-79.95395992
502739808,Pauline Park Basketball Court 1,Basketball (Full),Pauline Park,,Asphalt,0,f,Beechview,4,19,42003192000,5,19,6,4-28,40.4049985,-80.02613896
899479979,Pauline Park Basketball Court 2,Basketball (Full),Pauline Park,,Asphalt,0,f,Beechview,4,19,42003192000,5,19,6,4-28,40.40479575,-80.02602713
1328193138,Paulson Park Basketball Court 1,Basketball (Full),Paulson Park,,Asphalt,0,f,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,3-15,40.46866152,-79.89969078
917703932,Phillips Park Basketball Court 1,Basketball (Full),Phillips Park,,Asphalt,0,f,Carrick,4,29,42003290400,3,29,3,4-23,40.38835951,-79.98996767
41212187,Phillips Park Tennis Court 1,Tennis,Phillips Park,,Asphalt,0,f,Carrick,4,29,42003290400,3,29,3,4-23,40.38844681,-79.9898084
1452404133,Robert E. Williams Park Basketball Court 1 Herron,Basketball (Full),Robert E. Williams Park,,Asphalt,1,f,Upper Hill,6,5,42003050600,3,5,2,2-22,40.45475539,-79.95967195
1125450776,Roland Lockridge Comm Park Basketball Court 1,Basketball (Full),Roland Lockridge Community Park,,Asphalt,0,f,New Homestead,5,31,42003310300,3,31,4,4-20,40.39388033,-79.92065101
131694182,Schenley Park Pickleball Court 1,Pickleball,Schenley Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43186594,-79.94331312
354019264,Schenley Park Tennis Court 10,Tennis,Schenley Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43288644,-79.94165898
1652862442,Schenley Park Tennis Court 11,Tennis,Schenley Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43291806,-79.94148862
1003207346,Schenley Park Tennis Court 12,Tennis,Schenley Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43295667,-79.94131769
220767095,Schenley Park Tennis Court 13,Tennis,Schenley Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43299924,-79.94114759
2077109404,Schenley Park Tennis Court 2,Tennis,Schenley Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43193083,-79.94302095
1257685844,Schenley Park Tennis Court 3,Tennis,Schenley Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43203371,-79.9428614
1377038113,Schenley Park Tennis Court 4,Tennis,Schenley Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43214578,-79.94268508
139690649,Schenley Park Tennis Court 5,Tennis,Schenley Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43225643,-79.9425307
528608420,Schenley Park Tennis Court 6,Tennis,Schenley Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.4323586,-79.94237335
894092414,Schenley Park Tennis Court 7,Tennis,Schenley Park,,Asphalt,1,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43246852,-79.94221738
2074452367,Schenley Park Tennis Court 8,Tennis,Schenley Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43280905,-79.94199862
1784274089,Schenley Park Tennis Court 9,Tennis,Schenley Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43284949,-79.94182295
2002780151,Sheraden Park Basketball Court 1,Basketball (Full),Sheraden Park,,Asphalt,0,f,Sheraden,2,20,42003562500,5,20,6,1-16,40.45897385,-80.06020404
1008129604,Sheraden Park Tennis Court 1,Tennis,Sheraden Park,,Asphalt,0,f,Sheraden,2,20,42003562500,5,20,6,1-16,40.45934698,-80.06100155
73007274,Sheraden Park Tennis Court 2,Tennis,Sheraden Park,,Asphalt,0,f,Sheraden,2,20,42003562500,5,20,6,1-16,40.45938057,-80.06080119
436728230,Spring Garden Park Tennis Court 1,Tennis,Spring Garden Park,,Asphalt,0,f,Spring Garden,1,24,42003241200,1,24,1,1-24,40.46540201,-79.98580864
602681404,Spring Garden Park Tennis Court 2,Tennis,Spring Garden Park,,Asphalt,0,f,Spring Garden,1,24,42003241200,1,24,1,1-24,40.4651175,-79.98586876
1417020354,Spring Hill Park Basketball Court 1,Basketball (Full),Spring Hill Park,,Asphalt,0,f,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.4701038,-79.99337645
1167739947,Spring Hill Park Basketball Court 2,Basketball (Half),Spring Hill Park,,Asphalt,0,f,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.46999809,-79.99312276
884914366,Spring Hill Park Hockey Court 1,Street Hockey,Spring Hill Park,,Asphalt,0,f,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.47025721,-79.99312974
1546273895,Stratmore Park Basketball Court 1,Basketball (Full),Andrew Joseph Kukuruda Park,,Asphalt,0,f,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.43964648,-80.05618341
526698619,Stratmore Park Sports Court 1,Tennis,Andrew Joseph Kukuruda Park,,Asphalt,0,f,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.43941756,-80.05606395
1411000005,Townsend Park Basketball Court 1,Basketball (Half),Townsend Park,,Asphalt,0,f,Elliott,2,20,42003562600,5,20,6,1-17,40.44323917,-80.0401106
1431991481,Tropical Park Basketball Court 1,Basketball (Half),Tropical Park,,Asphalt,0,f,Beechview,4,19,42003191600,5,19,6,4-28,40.42248006,-80.02409173
2031457859,Tropical Park Basketball Court 2,Basketball (Full),Tropical Park,,Asphalt,0,f,Beechview,4,19,42003191600,5,19,6,4-28,40.42234945,-80.02388569
1861433607,Tropical Park Hockey Court 1,Street Hockey,Tropical Park,,Asphalt,0,f,Beechview,4,19,42003191600,5,19,6,4-28,40.42222783,-80.02360226
2034927516,Vincennes Park Basketball Court 1,Basketball (Full),Vincennes Park,,Asphalt,0,f,Middle Hill,6,5,42003050100,3,5,2,2-5,40.45120485,-79.96770499
692961341,Wabash Park Basketball Court 1,Basketball (Full),Wabash Park,,Asphalt,0,f,West End,2,20,42003562600,5,20,6,1-17,40.43818406,-80.03431845
182857077,Wabash Park Basketball Court 2,Basketball (Full),Wabash Park,,Asphalt,0,f,West End,2,20,42003562600,5,20,6,1-17,40.43817512,-80.03412638
1061688281,Warrington Park Basketball Court 1,Basketball (Full),Warrington Park,,Asphalt,0,f,Beltzhoover,3,18,42003562400,5,18,3,4-5,40.42152859,-80.00120565
576669884,West Penn Park Basketball Court 1,Basketball (Half),West Penn Park,,Asphalt,0,f,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45608563,-79.97059582
852391054,Wightman Park Basketball Court 1,Basketball (Half),Wightman Park,,Asphalt,0,f,Squirrel Hill North,8,14,42003140300,3,14,4,2-18,40.44358437,-79.9267556
768155930,Winters Park Basketball Court 1,Basketball (Full),Winters Park,,Asphalt,0,f,South Side Slopes,3,17,42003170600,3,17,3,4-3,40.42295871,-79.98142974
1016886044,Arlington Park Hockey Court 1,Hockey,Arlington Park,,Concrete,0,f,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41794503,-79.97475178
1143726854,Blair Street Park Basketball Court 1,Basketball (Full),Blair Street Park,,Asphalt,0,f,Hazelwood,5,15,42003562900,3,15,4,2-13,40.40437847,-79.94592237
927488438,Joe Natoli Field Basketball Court 1,Basketball (Full),Joe Natoli Park,,Asphalt,0,f,Morningside,7,10,42003101400,2,10,5,3-7,40.48415784,-79.9251752
1393056209,Allegheny Commons Pickleball Court 1,Pickleball,Allegheny Commons,,,0,f,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45399858,-80.00761998
1898333902,Allegheny Commons Pickleball Court 2,Pickleball,Allegheny Commons,,,0,f,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45389912,-80.00753158
996567043,Allegheny Commons Tennis Courts 4,Tennis,Allegheny Commons,,,0,f,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45416662,-80.00814678
126615186,Allegheny Commons Tennis Courts 5,Tennis,Allegheny Commons,,,0,f,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45420192,-80.00795732
15109516,Armstrong Park Horsehoe Pit,Horseshoe Pit,Armstrong Park,,Asphalt,0,f,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42840289,-79.98609203
2114042976,Lodge Potenza Bocce 2,Bocce,Lodge Potenza Healthy Active Living Center,,,0,f,Mount Washington,2,19,42003191400,5,19,3,4-27,40.43021175,-80.00780482
1864404262,Lodge Potenza Bocce Court 1,Bocce,Lodge Potenza Healthy Active Living Center,,,0,f,Mount Washington,2,19,42003191400,5,19,3,4-27,40.43025096,-80.00786994
321463746,Magee Bocce Court,Bocce,Magee Park,,,0,f,Greenfield,5,15,42003151700,3,15,4,2-12,40.42424065,-79.93671725
1290615572,Moore Park Pickleball Court 1,Pickleball,Moore Park,,,0,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40488657,-80.0147146
1066241176,Moore Park Pickleball Court 2,Pickleball,Moore Park,,,0,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40482121,-80.01473464
452184,Schenley Park Pickleball Court 2,Pickleball,Schenley Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43192476,-79.94322411
1837773733,Schenley Park Pickleball Court 3,Pickleball,Schenley Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43174194,-79.94317651
384044712,Schenley Park Pickleball Court 4,Pickleball,Schenley Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43179404,-79.94308011
1921597374,Roland Lockridge Park Horseshoe Pit,Horseshoe Pit,Roland Lockridge Community Park,,,0,,New Homestead,5,31,42003310300,3,31,4,4-20,40.39384084,-79.92092416
516511877,Westinghouse Park,Basketball (Half),Westinghouse Park,,Concrete,0,,Point Breeze North,9,14,42003140500,2,14,4,3-14,40.45351837,-79.90196895
1759668444,Swisshelm Park Hockey Court,Hockey,Swisshelm Park,,,0,,Swisshelm Park,5,14,42003141100,3,14,4,2-19,40.42123909,-79.90161251
708245427,Swisshelm Park Tennis Court,Tennis,Swisshelm Park,,,0,,Swisshelm Park,5,14,42003141100,3,14,4,2-19,40.42123773,-79.90192858
642546087,Washington's Landing Park Tennis Court 1,Tennis,Washington's Landing Park,,Asphalt,0,,Troy Hill,1,24,42003240600,6,24,1,1-1,40.46846463,-79.9743752
1788043226,Washington's Landing Tennis Court 2,Tennis,Washington's Landing Park,,Asphalt,0,,Troy Hill,1,24,42003240600,6,24,1,1-1,40.4685403,-79.97423767
949418312,Washington's Landing Tennis Court 3,Tennis,Washington's Landing Park,,Asphalt,0,,Troy Hill,1,24,42003240600,6,24,1,1-1,40.46861665,-79.97409158
1552277866,Washington's Landing Tennis Court 4,Tennis,Washington's Landing Park,,Asphalt,0,,Troy Hill,1,24,42003240600,6,24,1,1-1,40.46869328,-79.97395524
199562341,Washington's Landing Tennis Court 5,Tennis,Washington's Landing Park,,Asphalt,0,,Troy Hill,1,24,42003240600,6,24,1,1-1,40.46876759,-79.97381538
1774604314,Allegheny Commons Basketball Court 2,Basketball (Half),Allegheny Commons,,Asphalt,0,,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45180681,-80.00190448
1644340363,South Side Park Basketball Court,Basketball (Full),Southside Park,,Asphalt,0,,South Side Slopes,3,17,42003170600,3,17,3,4-22,40.42052182,-79.98147615
344589271,Riverview Park Tennis Court 1,Tennis,Riverview Park,,,0,,Perry North,1,26,42003980400,1,26,1,1-15,40.48228715,-80.02249218
1256692000,Riverview Park Tennis Court 2,Tennis,Riverview Park,,,0,,Perry North,1,26,42003980400,1,26,1,1-15,40.48234249,-80.0222632
1802795636,West End Park Basketball Court,Basketball (Half),West End Park,,Asphalt,0,,Elliott,2,20,42003562600,5,20,6,1-17,40.43739512,-80.03692881
529313558,Frick Park Pickleball Court 1,Pickleball,Frick Park,,Asphalt,0,,Squirrel Hill South,5,14,42003980300,3,14,4,2-21,40.42999682,-79.91402942
1330544431,Frick Park Pickleball Court 2,Pickleball,Frick Park,,Asphalt,0,,Squirrel Hill South,5,14,42003980300,3,14,4,2-21,40.42990563,-79.91402266
30730620,Frick Park Pickleball Court 3,Pickleball,Frick Park,,Asphalt,0,,Squirrel Hill South,5,14,42003980300,3,14,4,2-21,40.4298264,-79.91401737
